FirstPurchaseMonth,Month_0_rate,Month_1_rate,Month_2_rate,Month_3_rate,Month_4_rate,Month_5_rate,Month_6_rate,Month_7_rate,Month_8_rate,Month_9_rate,Month_10_rate,Month_11_rate
2010-12-01,100%,38%,33%,39%,36%,40%,38%,35%,35%,39%,37%,50%
2011-01-01,100%,24%,28%,24%,33%,30%,26%,26%,31%,35%,37%,15%
2011-02-01,100%,25%,19%,28%,27%,25%,26%,28%,26%,31%,9%,
2011-03-01,100%,19%,25%,22%,23%,18%,26%,24%,29%,9%,,
2011-04-01,100%,23%,22%,21%,21%,24%,23%,26%,8%,,,
2011-05-01,100%,24%,17%,17%,22%,24%,27%,10%,,,,
2011-06-01,100%,21%,19%,27%,25%,34%,10%,,,,,
2011-07-01,100%,21%,20%,23%,27%,12%,,,,,,
2011-08-01,100%,25%,25%,25%,14%,,,,,,,
2011-09-01,100%,30%,33%,12%,,,,,,,,
2011-10-01,100%,26%,13%,,,,,,,,,
2011-11-01,100%,13%,,,,,,,,,,
2011-12-01,100%,,,,,,,,,,,
